Date,Ticker,Sector,Close/Last,Volume,Open,High,Low,Direction
03/08/2023,WE,Real Estate,1.19,"8,452,281",1.21,1.28,1.14,Buy
03/09/2023,WE,Real Estate,1.09,"8,418,034",1.16,1.2,1.08,Buy
03/10/2023,WE,Real Estate,0.94,"19,533,710",1.1,1.1,0.92,Buy
03/13/2023,WE,Real Estate,0.92,"12,614,030",0.96,0.96,0.89,Buy
03/14/2023,WE,Real Estate,0.91,"11,383,010",0.98,1.09,0.91,Buy
03/15/2023,WE,Real Estate,0.86,"6,797,909",0.9,0.91,0.84,Buy
03/16/2023,WE,Real Estate,0.98,"13,709,810",0.86,1.02,0.82,Buy
03/17/2023,WE,Real Estate,0.98,"9,524,845",1.02,1.06,0.95,Buy
03/20/2023,WE,Real Estate,0.97,"7,510,901",0.97,1.02,0.93,Buy
03/21/2023,WE,Real Estate,1.07,"6,417,434",1,1.1,0.99,Buy
03/22/2023,WE,Real Estate,0.95,"11,991,100",1.07,1.08,0.95,Buy
03/23/2023,WE,Real Estate,0.85,"13,991,430",1,1.03,0.84,Buy
03/24/2023,WE,Real Estate,0.81,"21,762,320",0.87,0.87,0.8,Buy
03/27/2023,WE,Real Estate,0.76,"14,238,670",0.81,0.83,0.76,Buy
03/28/2023,WE,Real Estate,0.7,"12,871,090",0.76,0.78,0.69,Buy
03/29/2023,WE,Real Estate,0.75,"19,463,860",0.73,0.78,0.7,Buy
03/30/2023,WE,Real Estate,0.77,"12,057,480",0.79,0.8,0.73,Buy
03/31/2023,WE,Real Estate,0.78,"10,006,090",0.79,0.81,0.76,Buy
04/03/2023,WE,Real Estate,0.77,"7,067,384",0.78,0.79,0.73,Buy
04/04/2023,WE,Real Estate,0.69,"11,594,070",0.76,0.78,0.67,Buy
04/05/2023,WE,Real Estate,0.67,"6,618,209",0.69,0.7,0.66,Buy
04/06/2023,WE,Real Estate,0.65,"4,254,095",0.67,0.69,0.65,Buy
04/10/2023,WE,Real Estate,0.59,"23,787,250",0.65,0.66,0.59,Buy
04/11/2023,WE,Real Estate,0.56,"10,650,540",0.59,0.6,0.56,Buy
04/12/2023,WE,Real Estate,0.48,"16,983,610",0.57,0.57,0.48,Buy
04/13/2023,WE,Real Estate,0.53,"16,613,930",0.5,0.55,0.49,Buy
04/14/2023,WE,Real Estate,0.5,"18,836,700",0.54,0.56,0.49,Buy
04/17/2023,WE,Real Estate,0.49,"6,598,649",0.5,0.52,0.48,Buy
04/18/2023,WE,Real Estate,0.49,"10,597,460",0.51,0.52,0.44,Buy
04/19/2023,WE,Real Estate,0.46,"6,831,176",0.47,0.5,0.46,Buy
04/20/2023,WE,Real Estate,0.48,"8,189,689",0.46,0.5,0.45,Buy
04/21/2023,WE,Real Estate,0.45,"4,744,700",0.47,0.5,0.45,Buy
04/24/2023,WE,Real Estate,0.47,"5,708,734",0.46,0.49,0.46,Buy
04/25/2023,WE,Real Estate,0.44,"5,892,838",0.49,0.49,0.42,Buy
04/26/2023,WE,Real Estate,0.41,"7,484,078",0.46,0.46,0.4,Buy
04/27/2023,WE,Real Estate,0.44,"5,755,627",0.42,0.44,0.4,Buy
04/28/2023,WE,Real Estate,0.42,"8,578,883",0.42,0.46,0.41,Buy
05/01/2023,WE,Real Estate,0.4,"6,525,117",0.44,0.44,0.4,Buy
05/02/2023,WE,Real Estate,0.42,"6,841,733",0.4,0.43,0.39,Buy
05/03/2023,WE,Real Estate,0.4,"5,232,780",0.42,0.43,0.4,Buy
05/04/2023,WE,Real Estate,0.4,"6,115,685",0.41,0.42,0.4,Buy
05/05/2023,WE,Real Estate,0.44,"5,324,879",0.4,0.46,0.4,Buy
05/08/2023,WE,Real Estate,0.46,"5,151,708",0.47,0.47,0.45,Buy
05/09/2023,WE,Real Estate,0.43,"10,629,610",0.46,0.46,0.41,Buy
05/10/2023,WE,Real Estate,0.39,"8,582,378",0.46,0.46,0.38,Buy
05/11/2023,WE,Real Estate,0.4,"7,685,207",0.4,0.42,0.38,Buy
