Tweet Date,Ticker,Direction
03/08/2023,WE,Buy
03/08/2023,SICP,Buy
03/09/2023,CRM,Sell
03/10/2023,SIVB,Sell
03/10/2023,FRC,Sell
03/10/2023,JNJ,Sell
03/10/2023,JPM,Sell
03/14/2023,HBAN,Sell
03/14/2023,SCHW,Sell
03/16/2023,GS,Sell
03/17/2023,QQQ,Sell
03/21/2023,NKE,Sell
03/27/2023,CAT,Sell
03/27/2023,MS,Buy
03/27/2023,PVH,Sell
03/27/2023,NG,Buy
03/28/2023,LULU,Sell
03/29/2023,FL,Sell
03/29/2023,PARA,Sell
04/01/2023,LCID,Buy
04/06/2023,COST,Sell
04/13/2023,BA,Sell
04/17/2023,MCD,Sell
04/17/2023,RBLX,Buy
04/20/2023,NUE,Sell
04/20/2023,IBM,Sell
04/21/2023,CSX,Sell
04/24/2023,BBBY,Sell
04/26/2023,CMG,Sell
04/28/2023,AMZN,Buy
04/29/2023,BIRD,Buy
04/29/2023,WRBY,Buy
04/30/2023,SBUX,Buy
